Designator,Quantity,Value,Manufacturer,Part Number,Note,Specification,Footprint
"R17, R18","2","100","Cal-Chip Electronics, Inc.","RM06F1000CT","RES SMD 100 OHM 1% 1/10W 0603","100 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thick Film","RES0603"
"R20, R21, R22, R23, R25, R26, R27","7","10k","Samsung Electro-Mechanics","RCS1608F103CS","RES 10K OHM 1% 1/10W 0603","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Anti-Sulfur, Moisture Resistant Thick Film","RES0603"
"SW1, SW2","2","CUS-12TB","Nidec Components Corporation","CUS-12TB","SWITCH SLIDE SPDT 300MA 4V","Slide Switch SPDT Surface Mount, Right Angle","CUS-12B"
"SW3, SW4","2","EVP-AA402W","Panasonic Electronic Components","EVP-AA402W","SWITCH TACTILE SPST-NO 0.02A 15V","Tactile Switch SPST-NO Top Actuated Surface Mount","EVPXA"
"TP1, TP2, TP7, TP8, TP14, TP15, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37","26","TP_SMT","","","","","TP_SMT_1.5MM"
"TP3, TP4, TP5, TP6, TP9","5","TP_SMT","","","","","TP_TH"
"U1","1","DRV2604YZFR","Texas Instruments","DRV2604YZFR","IC MOTOR DRIVER 2.5V-5.5V 9DSBGA","Motor Driver Power MOSFET I2C 9-DSBGA","YZF9"
"U2","1","TPS22916BYFPR","Texas Instruments","TPS22916BYFPR","IC PWR SWITCH P-CHAN 1:1 4DSBGA","Power Switch/Driver 1:1 P-Channel 2A 4-DSBGA","YFP0004ABAB"
"U3","1","ICM-42605","TDK Invensense","ICM-42605","IMU ACCEL/GYRO/TEMP I2C/SPI LGA","Accelerometer, Gyroscope, 6 Axis Sensor I2C, I3C, SPI Output","XDCR_ICM-42605"
"U5","1","MX25R6435FZAIL0","Macronix","MX25R6435FZAIL0","IC FLASH 64MBIT SPI/QUAD 8USON","FLASH - NOR Memory IC 64Mbit SPI - Quad I/O 80 MHz 8-USON (4x4)","SON80P400X400X60-9N_NOPAD"
"U6","1","BQ25125YFPR","Texas Instruments","BQ25125YFPR","IC BAT CHG MULT-CHEM 1CL 25DSBGA","Charger IC Multi-Chemistry 25-DSBGA","YFP0025-IPC_A"
"X1","1","32.768kHz","TXC Corporation","9HT11-32.768KDZC-T","XTAL SMD 32.768kHz","32.768 kHz ±20ppm Crystal 9pF 90 kOhms 2-SMD, No Lead","XTAL_2012"
